code;code_source;date;nom_saisie;nom_retenu;status;niche;pays;region;ville;lieux dit;utm;utm1;utm10;latitude;longitude;altitude;mode_lecture;precision;precision.m;type_acquisition ;nom_observateur;orga_observateur;nom_bdd;auteur;annee_publication;titre_publication;revue;confidentialite;nom_fournisseur;organisation;Indigenat_population;nb.ind;surface_patch;abondance_rarete;description.hab;corinne;direct_hab;ordre.phyto;association;remarque.hab;comment
ls_1048;620771;03/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;50;OZE;;;;;44,511;5,81165;870;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1049;621094;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,78606;6,54644;882;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_105;387865;19/07/91;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CERESTE;;;;;43,83531;5,6127;483;GPS;point;10;export bdd;VARESE Paolo;Ass InternatIonale deÊPhytosociologie;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1050;621098;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,8029;6,49542;1024;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1051;621102;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,80427;6,48351;1123;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1052;621154;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;ROUGON;;;;;43,80728;6,38805;1082;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1053;621169;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;LA PALUD-SUR-VERDON;;;;;43,80521;6,31578;937;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1054;621171;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;LA PALUD-SUR-VERDON;;;;;43,80737;6,30924;937;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1055;621180;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;MOUSTIERS-SAINTE-MARIE;;;;;43,81139;6,24647;649;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1056;621181;2004/7/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;MOUSTIERS-SAINTE-MARIE;;;;;43,81153;6,24327;649;GPS;point;10;export bdd;INCONNU (Mutlidiscipl. biolog. envir.);Attente de rattachement;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1057;621183;19/05/05;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;MOUSTIERS-SAINTE-MARIE;;;;;43,81184;6,23469;578;GPS;point;10;export bdd;LAVAGNE Andr_;LAVAGNE Andr_;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1058;621189;06/06/05;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;MOUSTIERS-SAINTE-MARIE;;;;;43,81196;6,22957;513;GPS;point;10;export bdd;LAVAGNE Andr_;LAVAGNE Andr_;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1059;622093;24/04/07;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;AUTICHAMP;;;;;44,67689;4,98714;344;GPS;point;10;export bdd;GARRAUD Luc;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
