"code.pop";"sp.name";"date";"x";"y";"precision";"source"
"116";"ls_1101";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2002//";6.56069;44.39701;10;"CBN Alpin"
"117";"ls_1102";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"13/07/07";5.61459;45.08557;10;"CBN Alpin"
"118";"ls_1103";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"03/08/07";5.59955;45.03911;10;"CBN Alpin"
"119";"ls_1104";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"25/05/07";5.60465;44.87309;10;"CBN Alpin"
"120";"ls_1105";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/06/07";5.55734;44.85982;10;"CBN Alpin"
"121";"ls_1106";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/06/07";5.55642;44.86941;10;"CBN Alpin"
"122";"ls_1107";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/06/07";5.55718;44.86928;10;"CBN Alpin"
"123";"ls_1108";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/06/07";5.56173;44.87698;10;"CBN Alpin"
"124";"ls_1109";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/06/07";5.55707;44.86427;10;"CBN Alpin"
"125";"ls_111";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/08/91";5.77638;43.86719;10;"CBN Alpin"
"126";"ls_1110";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/06/07";5.557;44.86522;10;"CBN Alpin"
"127";"ls_1111";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"13/06/07";5.62367;45.02399;10;"CBN Alpin"
"128";"ls_1112";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"27/06/07";5.58723;45.01055;10;"CBN Alpin"
"129";"ls_1113";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"27/06/07";5.58531;45.01035;10;"CBN Alpin"
"130";"ls_1114";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"27/06/07";5.58735;45.01288;10;"CBN Alpin"
"131";"ls_1115";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"27/06/07";5.5885;45.01394;10;"CBN Alpin"
"132";"ls_1116";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57901;44.9973;10;"CBN Alpin"
"133";"ls_1117";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57928;44.99803;10;"CBN Alpin"
"134";"ls_1118";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57952;44.99857;10;"CBN Alpin"
"135";"ls_1119";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57919;44.99911;10;"CBN Alpin"
"136";"ls_112";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"27/08/91";5.73837;43.87195;10;"CBN Alpin"
"137";"ls_1120";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57836;45.00016;10;"CBN Alpin"
"138";"ls_1121";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57407;44.99828;10;"CBN Alpin"
"139";"ls_1122";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57373;44.99828;10;"CBN Alpin"
"140";"ls_1123";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57287;44.99777;10;"CBN Alpin"
"141";"ls_1124";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57263;44.9982;10;"CBN Alpin"
"142";"ls_1125";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57237;44.99884;10;"CBN Alpin"
"143";"ls_1126";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.57134;44.99973;10;"CBN Alpin"
"144";"ls_1127";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.56293;45.0009;10;"CBN Alpin"
"145";"ls_1128";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.56133;44.99902;10;"CBN Alpin"
"146";"ls_1129";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.55914;44.9984;10;"CBN Alpin"
