"code.pop";"code_terrain";"species";"status";"ls.short.style";"ls.long.style";"ls.number";"lf.number";"hy.short.style";"hy.long.style";"hy.number";"com.comptage"
"117";"li79";"30EOV2016";"Linum tenuifolium";"pure";0;0;0;NA;NA;NA;0;""
"118";"li8";"G8";"Linum suffruticosum";"mixed";58;60;118;NA;NA;NA;NA;""
"119";"li80";"31EOV2016";"Linum suffruticosum";"pure";29;35;64;0;NA;NA;0;""
"120";"li81";"32EOV2016";"Linum tenuifolium";"pure";0;0;0;50;NA;NA;0;""
"121";"li82";"33EOV2016";"Linum suffruticosum";"pure";38;35;73;0;NA;NA;0;""
"122";"li83";"Li_17_01";"Linum tenuifolium";"pure";NA;NA;NA;42;NA;NA;NA;""
"123";"li84";"Li_17_02";"Linum tenuifolium";"pure";NA;NA;NA;19;NA;NA;NA;""
"124";"li85";"Li_17_03";"Linum suffruticosum";"mixed";16;22;38;NA;NA;NA;NA;""
"125";"li86";"Li_17_04";"Linum tenuifolium";"mixed";NA;NA;NA;68;NA;NA;NA;""
"126";"li87";"Li_17_05";"Linum suffruticosum";"pure";62;53;115;NA;NA;NA;NA;""
"127";"li88";"Li_17_06";"Linum suffruticosum";"pure";77;79;156;NA;NA;NA;NA;""
"128";"li89";"Li_17_07";"Linum tenuifolium";"pure";NA;NA;NA;35;NA;NA;NA;""
"129";"li9";"G8'";"Linum tenuifolium";"mixed";NA;NA;NA;125;NA;NA;NA;""
"130";"li90";"Li_17_08";"Linum suffruticosum";"pure";28;36;64;NA;NA;NA;NA;""
"131";"li91";"Li_17_09";"Linum suffruticosum";"pure";35;41;76;NA;NA;NA;NA;""
"132";"li92";"Li_17_10";"Linum suffruticosum";"pure";29;31;60;NA;NA;NA;NA;""
"133";"li93";"Li_17_11";"Linum tenuifolium";"pure";NA;NA;NA;37;NA;NA;NA;""
"134";"li94";"Li_17_12";"Linum suffruticosum";"pure";113;115;228;NA;NA;NA;NA;""
"135";"li95";"Li_17_13";"Linum tenuifolium";"pure";NA;NA;NA;101;NA;NA;NA;""
"136";"li96";"Li_17_14";"Linum suffruticosum";"mixed";64;63;127;NA;NA;NA;NA;""
"137";"li97";"Li_17_15";"Linum tenuifolium";"pure";NA;NA;NA;49;NA;NA;NA;""
"138";"li98";"Li_17_16";"Linum suffruticosum";"pure";79;77;156;NA;NA;NA;NA;""
"139";"li99";"Li_17_17";"Linum tenuifolium";"pure";NA;NA;NA;142;NA;NA;NA;""
